FID,objectid,mp_id,name,adresse,anz_stellpl_cs,anz_stellpl_taxi,anzahl_ladepunkte_ac,anzahl_ladepunkte_dc,gaf_ts_vorhanden,gaf_bs_vorhanden,gaf_ls_vorhanden,gaf_ms_vorhanden,ods_vorhanden,bus_vorhanden,tram_vorhanden,u_bahn_vorhanden,s_bahn_vorhanden,radservicestation_vorhanden,radpumpe_vorhanden,bearbeitung_datum,shape
ruhver_mp_standort_point.31,36,52,Untersbergstraße,Untersbergstraße 33-35,5,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,20260219,POINT (692578.9324008594 5332021.8570979135)
ruhver_mp_standort_point.32,11,211,Zenettiplatz,Zenettiplatz 1 - 2,5,4,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (690174.290500807 5333300.830398063)
ruhver_mp_standort_point.33,107,202,Fraunhoferstraße,Baaderstraße 78,3,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,20260219,POINT (691674.2728008393 5333781.56639797)
ruhver_mp_standort_point.34,124,2002,Max-Lebsche-Platz,westlich der Heiglhofstraße 54 in der Sauerbruchstraße,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (684312.853500691 5331356.886998387)
ruhver_mp_standort_point.35,136,408,Destoucheestraße,Destoucheestraße 50,8,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,20260219,POINT (691400.4303008323 5337799.1696979785)
ruhver_mp_standort_point.36,37,48,Ella-Lingens-Platz,Werner-Schlierf-Straße  23,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (692060.3180008477 5331731.344497947)
ruhver_mp_standort_point.37,73,1303,Böhmerwaldplatz,Böhmerwaldplatz 28,7,Nein,0,0,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (694531.4173009022 5335454.286997771)
ruhver_mp_standort_point.38,29,42,Trudering Bahnhof Süd ,Karpfenstr. / Truderinger straße 272,4,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,20260225,POINT (698260.8878009913 5333615.099197487)
ruhver_mp_standort_point.39,19,27,Rotkreuzplatz,Winthirstraße 2,7,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,20260219,POINT (688335.4641007688 5336403.908198165)
ruhver_mp_standort_point.40,34,46,"Plettstraße
","Plettstraße 35 
",4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260225,POINT (696589.9330009518 5331545.813397625)
ruhver_mp_standort_point.41,128,402,Scheidplatz,Scheidplatz 1 a,11,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,20260225,POINT (691345.6352008312 5338475.383897981)
ruhver_mp_standort_point.42,129,403,Petuelring,Birnauerstraße 4,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,20260225,POINT (690739.0045008176 5338972.754198018)
ruhver_mp_standort_point.43,8,2,Knöbelstraße,Knöbelstraße 2 - 6a,7,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (692249.6675008518 5334661.1036979295)
ruhver_mp_standort_point.44,71,1301,Arabellapark,Elektrastraße 6,7,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,20260219,POINT (694945.4633009115 5336636.736197736)
